course_id,course_name,credits,dept_name
270,Phát triển web 0270,3,DS
500,Phát triển web 0500,5,IS
116,Giải thuật 0116,5,IS
268,Học máy 0268,5,IS
132,Cấu trúc dữ liệu 0132,5,IS
238,Học máy 0238,3,DS
64,Mạng máy tính 0064,5,CSIT
191,Hệ cơ sở dữ liệu 0191,4,BA
91,Hệ cơ sở dữ liệu 0091,4,SE
310,Phát triển web 0310,3,DS
452,Cấu trúc dữ liệu 0452,5,IS
100,Phát triển web 0100,5,IS
69,Tìm kiếm thông tin 0069,2,AI
12,Cấu trúc dữ liệu 0012,5,IS
375,Kỹ nghệ phần mềm 0375,4,BA
80,Phát triển web 0080,5,CSIT
223,Hệ điều hành 0223,4,BA
60,Phát triển web 0060,5,IS
215,Kỹ nghệ phần mềm 0215,4,BA
405,Kỹ nghệ phần mềm 0405,2,AI
281,Hệ cơ sở dữ liệu 0281,2,CS
41,Hệ cơ sở dữ liệu 0041,2,CS
189,Tìm kiếm thông tin 0189,2,AI
491,Hệ cơ sở dữ liệu 0491,4,SE
382,Cấu trúc dữ liệu 0382,3,DS
209,Tìm kiếm thông tin 0209,2,CS
235,Kỹ nghệ phần mềm 0235,4,SE
322,Cấu trúc dữ liệu 0322,3,IT
386,Giải thuật 0386,3,IT
175,Kỹ nghệ phần mềm 0175,4,BA
232,Cấu trúc dữ liệu 0232,5,CSIT
97,Toán rời rạc 0097,2,CS
77,Toán rời rạc 0077,2,AI
342,Cấu trúc dữ liệu 0342,3,DS
468,Học máy 0468,5,IS
458,Học máy 0458,3,IT
162,Cấu trúc dữ liệu 0162,3,IT
355,Kỹ nghệ phần mềm 0355,4,SE
10,Phát triển web 0010,3,IT
190,Phát triển web 0190,3,DS
88,Học máy 0088,5,CSIT
35,Kỹ nghệ phần mềm 0035,4,SE
339,Tìm kiếm thông tin 0339,4,SE
45,Kỹ nghệ phần mềm 0045,2,AI
371,Hệ cơ sở dữ liệu 0371,4,SE
3,Hệ điều hành 0003,4,SE
361,Hệ cơ sở dữ liệu 0361,2,CS
